Num,Label,Value,Parm_StDev
189,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1993,1.07E-06,1
190,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1994,3.03E-07,1
191,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1995,5.33E-07,1
192,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1996,5.18E-07,1
193,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1997,2.71E-07,1
194,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1998,2.30E-07,1
195,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1999,-1.64E-06,1
196,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2000,5.97E-07,1
197,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2001,-5.42E-06,1
198,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2002,-1.76E-07,1
199,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2003,1.40E-06,1
200,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2004,7.25E-07,1
201,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2005,-1.63E-06,1
202,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2006,-3.73E-07,1
203,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2007,4.29E-06,1
204,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2008,7.70E-07,1
205,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2009,-1.88E-06,1
206,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2010,-3.71E-07,1
207,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2011,4.54E-07,1
208,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2012,-1.03E-06,1
209,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2013,2.26E-08,1
210,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2014,3.82E-07,1
211,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2015,-2.74E-10,1
212,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2016,-4.15E-07,1
213,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2017,8.69E-07,1
214,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2018,5.55E-07,1
215,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2019,5.19E-08,1
216,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2020,-4.05E-07,1
217,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2021,1.04E-07,1
218,Size_DblN_descend_se_FshTrawl(1)_DEVmult_2022,2.58E-07,1
219,Size_DblN_peak_FshLL(2)_DEVmult_1991,0.432485,0.747055
220,Size_DblN_peak_FshLL(2)_DEVmult_1992,0.8106,0.716423
221,Size_DblN_peak_FshLL(2)_DEVmult_1993,-0.0960861,0.657525
222,Size_DblN_peak_FshLL(2)_DEVmult_1994,-0.201009,0.62183
223,Size_DblN_peak_FshLL(2)_DEVmult_1995,1.06939,0.674656
224,Size_DblN_peak_FshLL(2)_DEVmult_1996,0.260145,0.603834
225,Size_DblN_peak_FshLL(2)_DEVmult_1997,0.29539,0.727
226,Size_DblN_peak_FshLL(2)_DEVmult_1998,0.079397,0.531725
227,Size_DblN_peak_FshLL(2)_DEVmult_1999,0.483519,0.529664
228,Size_DblN_peak_FshLL(2)_DEVmult_2000,2.15062,0.491951
229,Size_DblN_peak_FshLL(2)_DEVmult_2001,-0.787662,0.521034
230,Size_DblN_peak_FshLL(2)_DEVmult_2002,-0.00857398,0.578111
231,Size_DblN_peak_FshLL(2)_DEVmult_2003,-0.774066,0.668973
232,Size_DblN_peak_FshLL(2)_DEVmult_2004,-1.86732,0.670403
233,Size_DblN_peak_FshLL(2)_DEVmult_2005,-0.544634,0.614058
234,Size_DblN_peak_FshLL(2)_DEVmult_2006,-0.939874,0.541594
235,Size_DblN_peak_FshLL(2)_DEVmult_2007,-0.738188,0.532089
236,Size_DblN_peak_FshLL(2)_DEVmult_2008,-0.367411,0.551253
237,Size_DblN_peak_FshLL(2)_DEVmult_2009,-0.727552,0.525977
238,Size_DblN_peak_FshLL(2)_DEVmult_2010,-0.153978,0.499763
239,Size_DblN_peak_FshLL(2)_DEVmult_2011,-0.289099,0.699185
240,Size_DblN_peak_FshLL(2)_DEVmult_2012,0.00926542,0.631686
241,Size_DblN_peak_FshLL(2)_DEVmult_2013,0.796175,0.648074
242,Size_DblN_peak_FshLL(2)_DEVmult_2014,0.323939,0.766249
